review_text,rating
가성비 좋네요 올겨울 이걸로 깔 맞춤 했어요 좋아요,5
핏도 좋고 가성비 좋아요 이제 옷은 무신사에서만 살래요,5
생각보다 많이 얇습니다. 가격처럼 부담없이 편하게 입기 좋을듯!,4
몇번째구매인지 ㅋㅋ 너무 편하고 좋습니다 할인까지 해서 잘 샀어요,5
기모 바지인데 가볍고 편해서 정말 만족스러워요!,5
일단 가성비가 너무 좋고 어디에도 매치하기 편해요,5
L 사이즈 겨울 기모 버전으로 구매했는데 너무 두껍지 않으면서도 입으면 은근히 따뜻해서 겨울 데일리 팬츠로 딱이에요. 핏도 세미 와이드라 부담 없고 움직이기 편해서 자주 손이 갑니다. 블랙 컬러라 코디도 쉽고 전체적으로 만족도가 정말 높아요!,5
가격대비 퀄리티 좋네요. 허리가 밴드형식이라 편하고 막입기 좋을것 같아요,5
신축성좋고 아무코디에 전부 어울립니다. 추천드립니다.,5
많이 얇긴한데 기장하고 퀄리티 좋아요 편하게 잘 입을 수 있을거 같아요,5
많이 얇긴한데 기장하고 퀄리티 좋아요 편하게 잘 입을 수 있을거 같아요,5
"기모버전으로 구매 후 디자인, 기장, 소재 등등 너무 마음에 들어 논기모 버전도 재구매 하여 입고있어요! 이 가격대 이정도 퀄리티 너무 만족합니다",5
가성비 좋고 어디에나 잘 알맞게 어울려서 추천합니다,5
논기모로 구매해서 잘 입었고 기모버전으로 구매또했어요. 빠른배송감사합니다,5
기모 있는 슬랙스를 찾고 있었는데 적당한 가격대에 잘 구했습니다 따뜻하게 입고 다닐수 있어요,5
"쫀쪽하고, 마감 좋고, 기장도 딱 좋아요~ 기모도 보들하고~ 올겨울 따숩게 나겠어요~",5
봄 여름용 인듯합니다 겨울용도 같은핏이면 구매할께요^^,5
생각보다 얇아서 봄 가을에나 가능해요 늦 가을에도 입기 어려울 듯,3
핏도 이쁘고 질감도 좋아 만족합니다 남자는 벨트형이 좋을듯,5
입어보니 핏 좋고 편하고 잘 입을거같아요 따뜻 한것도 괜찮은듯 근데 배송이 매우 느림..,4
예전에 사입고 좋아서 재구매인데 배송이 느려도 너무 느리네요 열흘이나 걸리다니,2
사이즈 잘맞고 색상도 화면과 같고 핏좋네요 두께는 좀 얇아서 겨울엔 겨울용 사야할거 같습니다.,5
정사이즈고 밴드가 있어어 편합니다 기존 슬랙스보다 낫네요.. 키크신분은 기장 살짝 짧을수도?,5
여름용보다 약간 큰 느낌인듯....재질도 좀 다르네요 면보다는 빤닥빤닥한게 조금 저렴해보이는감은 있는데...가격이 싸니...,4
"두번째 구입인데 가격대비 퀄리티, 핏 너무 좋네요.",5
할인할 때 저렴하게 구입해서 매우 만족입니다. 편하고 핏도 좋아요.,5
신축성도 좋고 입고다니기 편하네요 재구매 합니다,5
사이즈 넉넉하고 밴딩이라 편하게 입기 좋습니다~~,5
너무 편해서 회사 교복으로 입고있습니다 제법 튼튼하고 길이가 적당히 길어서 좋습니다,5
늦게 와서 짜증 났지만 옷 이뻐서 봐줌 굿입니다요,5
바지사이즈가 다양하고 바지에 뱐딩이 있어서 허리통이 안맞아도 벤딩으로 조일 수 있어서 좋음,5
매년 1벌씩 사서 잘 입고 다니고 있어요. 작년에 비해 허리끈 소재가 좀 더 두꺼운 걸로 바꼈네요. 핏은 그대로고 얇지만 적당히 힘있는 소재라서 여름에 단정히 입기에 좋았습니다.,5
신축성 완죤 짱짱!! 핏두 완뵥하고 너무 이뻐요 잘 입을게요,5
"본 제품은 벌써 다섯 번째 재구매로, 건조기 사용에도 변형이 없으며, 회사 착용 시 매우 편안하다는 장점이 있습니다. 여름 한 시즌 동안 튼튼하게 착용 가능하며, 무릎 늘어짐이나 봉제 불량 또한 발생하지 않아 우수한 품질을 보여줍니다.",5
밴딩처리 되어있어서 편해요. 먼지가 잘 붙기는 하지만 그래도 만족합니다.,5
배송도 빠르고 옷이 편해서 재주문 했습니다 만족합니다,5
펑 넓어 보인다기보다는 딱 기장에 알맞게 떨어지는 핏이네요 이뻐요 ~,5
얇고 편하게 막 입기 좋은 슬랙스를 찾다가 좋은 슬랙스를 찾았네요,4
완전히 단정한 슬랙스 느낌은 아니고 편하게 입을 수 있는 바지 느낌이에요! 좋아요~,5
재질도 좋고 세탁해도 색빠짐 없습니다 핏도 딱 좋아서 편하게 입기 좋아요,5
색감이랑 기장도 마음에 들고 편해서 평소에 자주 입고 다닐것 같습니다,5
